origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
9,9,1,4,1.5,60.0,0.085,20.36,1.81,800.0
0,3,2,5,1.2,75.0,0.169,7.94,2.08,400.0
1,3,2,5,1.2,75.0,0.169,7.94,2.08,400.0
2,3,2,5,1.2,75.0,0.169,7.94,2.08,400.0
3,3,2,5,1.2,75.0,0.135,7.94,2.08,400.0
4,3,2,5,1.2,75.0,0.135,7.94,2.08,400.0
5,3,2,5,1.2,75.0,0.135,7.94,2.08,400.0
6,3,2,5,1.2,75.0,0.135,7.94,2.08,400.0
7,3,2,5,1.2,75.0,0.085,7.94,2.08,400.0
8,3,2,5,1.2,75.0,0.085,7.94,2.08,400.0
9,3,2,5,1.2,75.0,0.085,7.94,2.08,400.0
0,4,0,5,1.2,75.0,0.169,7.94,2.08,400.0
1,4,0,5,1.2,75.0,0.169,7.94,2.08,400.0
2,4,0,5,1.2,75.0,0.169,7.94,2.08,400.0
3,4,0,5,1.2,75.0,0.135,7.94,2.08,400.0
4,4,0,5,1.2,75.0,0.135,7.94,2.08,400.0
5,4,0,5,1.2,75.0,0.135,7.94,2.08,400.0
6,4,0,5,1.2,75.0,0.135,7.94,2.08,400.0
7,4,0,5,1.2,75.0,0.085,7.94,2.08,400.0
8,4,0,5,1.2,75.0,0.085,7.94,2.08,400.0
9,4,0,5,1.2,75.0,0.085,7.94,2.08,400.0
0,5,1,5,1.2,75.0,0.169,7.94,2.08,400.0
1,5,1,5,1.2,75.0,0.169,7.94,2.08,400.0
2,5,1,5,1.2,75.0,0.169,7.94,2.08,400.0
3,5,1,5,1.2,75.0,0.135,7.94,2.08,400.0
4,5,1,5,1.2,75.0,0.135,7.94,2.08,400.0
5,5,1,5,1.2,75.0,0.135,7.94,2.08,400.0
6,5,1,5,1.2,75.0,0.135,7.94,2.08,400.0
7,5,1,5,1.2,75.0,0.085,7.94,2.08,400.0
8,5,1,5,1.2,75.0,0.085,7.94,2.08,400.0
9,5,1,5,1.2,75.0,0.085,7.94,2.08,400.0
0,6,2,5,1.2,75.0,0.169,7.94,2.08,400.0
1,6,2,5,1.2,75.0,0.169,7.94,2.08,400.0
2,6,2,5,1.2,75.0,0.169,7.94,2.08,400.0
3,6,2,5,1.2,75.0,0.135,7.94,2.08,400.0
4,6,2,5,1.2,75.0,0.135,7.94,2.08,400.0
5,6,2,5,1.2,75.0,0.135,7.94,2.08,400.0
6,6,2,5,1.2,75.0,0.135,7.94,2.08,400.0
7,6,2,5,1.2,75.0,0.085,7.94,2.08,400.0
8,6,2,5,1.2,75.0,0.085,7.94,2.08,400.0
9,6,2,5,1.2,75.0,0.085,7.94,2.08,400.0
0,7,2,5,1.5,75.0,0.506,22.0,2.08,565.7
1,7,2,5,1.5,75.0,0.506,22.0,2.08,565.7
2,7,2,5,1.5,75.0,0.506,22.0,2.08,565.7
3,7,2,5,1.5,75.0,0.135,22.0,2.08,565.7
